ID,NAtoms,Ne,Homo-4,Homo-3,Homo-2,Homo-1,Homo,Lumo,Lumo+1,Lumo+2,Lumo+3,Lumo+4,CIe,HF,ET,EV,EJ,EK,ENuc,Dipole,Factor
AC18852,12,64,-0.48114,-0.47278,-0.4125,-0.36051,-0.31344,0.03192,0.04879,0.0574,0.0689,0.07695,-1.5560443,-987.0801087756,15.41605578125,-47.379796546875,12.348374296875,-1.18748909375,5.379728859375,3.0879,2
AC18855,13,70,-0.46105,-0.45042,-0.37062,-0.35707,-0.34326,0.02758,0.04351,0.05807,0.05994,0.06924,-1.724798,-1024.8587380824,14.633580757142855,-46.51861367142857,12.507750485714286,-1.1589305142857145,5.8953738285714286,4.5664,2
AC18863,11,64,-0.47567,-0.44481,-0.43784,-0.40789,-0.32674,0.02947,0.04833,0.05986,0.07172,0.08457,-1.4922297,-1048.470903446,16.376108796875,-49.548949296875,12.6906231875,-1.221335859375,5.3211953125,3.6971,2
AC18866,12,70,-0.45086,-0.44154,-0.43607,-0.37316,-0.35597,0.02433,0.04863,0.05305,0.05725,0.07136,-1.6599154,-1086.2481555109,15.5114379,-48.43543531428572,12.787443285714286,-1.1898750714285715,5.808598399999999,5.0839,2
AC18874,9,46,-0.56589,-0.55485,-0.48989,-0.38736,-0.3529,0.03696,0.05273,0.06875,0.06967,0.08219,-1.1709933,-588.3684796185,12.781139304347828,-38.84103308695652,10.08622354347826,-1.0913535652173914,4.274404695652174,2.2945,2
AC18875,12,54,-0.52732,-0.50757,-0.48448,-0.38505,-0.35243,0.03752,0.05039,0.05851,0.06146,0.07837,-1.3779543,-627.4154464749,11.609723592592593,-37.34421416666667,10.22455225925926,-1.039199351851852,4.930333111111111,2.3759,2
AC18876,15,62,-0.51538,-0.4984,-0.45978,-0.36066,-0.34497,0.03808,0.04687,0.05776,0.05966,0.07448,-1.5857768,-666.4596649441,10.74039522580645,-36.63973206451613,10.53146064516129,-1.0004631451612902,5.618989919354839,2.5811,2
AC18877,15,62,-0.52106,-0.50924,-0.45562,-0.35919,-0.29841,0.0348,0.0473,0.05462,0.05839,0.06499,-1.5995356,-666.3449547604,10.736894629032257,-36.51922827419354,10.46520335483871,-0.999312629032258,5.568943661290323,2.7504,2
AC18878,13,60,-0.51697,-0.48236,-0.46711,-0.36627,-0.35062,0.03528,0.0514,0.05281,0.05506,0.06137,-1.5527435,-665.1864060188,11.077468966666666,-37.0250037,10.464121166666668,-1.0205238,5.417497266666667,3.2486,2
AC18879,13,62,-0.53349,-0.51443,-0.45766,-0.3765,-0.36567,0.03587,0.04765,0.05805,0.0617,0.0771,-1.6399338,-702.28207035,11.316507016129032,-38.1497015,10.869239870967744,-1.0379114032258063,5.674735838709677,3.5314,2
